Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum
O1CN01ftum4629SHP6bCqTm_!!6000000008066-2-tps-99-99.png,O1CN01ftum4629SHP6bCqTm_!!6000000008066-2-tps-99-99.png,https://gw.alicdn.com/imgextra/i4/O1CN01ftum4629SHP6bCqTm_!!6000000008066-2-tps-99-99.png,3.6572265625,0.08655332302936632,0.01672055125567421,1.0,3.6572265625,3.6572265625,1.0,100,1.0,1.0167205512556743
O1CN019XWXNq1aAPOVMYSiu_!!6000000003289-2-tps-167-63.png,O1CN019XWXNq1aAPOVMYSiu_!!6000000003289-2-tps-167-63.png,https://gw.alicdn.com/imgextra/i4/O1CN019XWXNq1aAPOVMYSiu_!!6000000003289-2-tps-167-63.png,2.13671875,0.08575803981623277,0.017308383135756507,1.0,2.13671875,2.13671875,1.0,100,1.0,1.0173083831357566
O1CN01yK3Cxn1sTnAx1fOjq_!!6000000005768-2-tps-183-144.png_q90.png,O1CN01yK3Cxn1sTnAx1fOjq_!!6000000005768-2-tps-183-144.png_q90.jpg,https://gw.alicdn.com/imgextra/i2/O1CN01yK3Cxn1sTnAx1fOjq_!!6000000005768-2-tps-183-144.png_q90.jpg,8.1376953125,1.0,0.04431599229287091,1.0,8.1376953125,7.880859375,1.0,60,1.0,1.0443159922928709
O1CN01VuRfwH1muSbsJFxoM_!!6000000005014-2-tps-183-144.png_q90.png,O1CN01VuRfwH1muSbsJFxoM_!!6000000005014-2-tps-183-144.png_q90.jpg,https://gw.alicdn.com/imgextra/i4/O1CN01VuRfwH1muSbsJFxoM_!!6000000005014-2-tps-183-144.png_q90.jpg,19.7724609375,1.0,0.04431599229287091,1.0,19.7724609375,19.7724609375,1.0,100,1.0,1.0443159922928709
O1CN01iZIGkz1URSOUdRHqS_!!6000000002514-2-tps-183-144.png_q90.png,O1CN01iZIGkz1URSOUdRHqS_!!6000000002514-2-tps-183-144.png_q90.jpg,https://gw.alicdn.com/imgextra/i1/O1CN01iZIGkz1URSOUdRHqS_!!6000000002514-2-tps-183-144.png_q90.jpg,5.2822265625,1.0,0.04431599229287091,1.0,5.2822265625,5.2822265625,1.0,100,1.0,1.0443159922928709
O1CN01GriVe31mcb6ZicORm_!!6000000004975-0-yinhe.jpg_140x140q90.jpg,O1CN01GriVe31mcb6ZicORm_!!6000000004975-0-yinhe.jpg_140x140q90.jpg,https://gw.alicdn.com/tps/O1CN01GriVe31mcb6ZicORm_!!6000000004975-0-yinhe.jpg_140x140q90.jpg,2.65234375,0.17891373801916935,0.058783188008229646,1.0,2.65234375,2.65234375,1.0,100,1.0,1.0587831880082297
O1CN01QB4wwM28TMg0xqihv_!!6000000007933-0-yinhe.jpg_140x140q90.jpg,O1CN01QB4wwM28TMg0xqihv_!!6000000007933-0-yinhe.jpg_140x140q90.jpg,https://gw.alicdn.com/tps/O1CN01QB4wwM28TMg0xqihv_!!6000000007933-0-yinhe.jpg_140x140q90.jpg,2.67578125,0.17891373801916935,0.058783188008229646,1.0,2.67578125,2.67578125,1.0,100,1.0,1.0587831880082297
O1CN01td5MBl20pnCESNvOs_!!6000000006899-0-yinhe.jpg_140x140q90.jpg,O1CN01td5MBl20pnCESNvOs_!!6000000006899-0-yinhe.jpg_140x140q90.jpg,https://gw.alicdn.com/tps/O1CN01td5MBl20pnCESNvOs_!!6000000006899-0-yinhe.jpg_140x140q90.jpg,2.3818359375,0.2488888888888889,0.058783188008229646,1.0,2.3818359375,2.3818359375,1.0,100,1.0,1.0587831880082297
O1CN01FDv9Qc1xmBACoQW9V_!!6000000006485-0-yinhe.jpg_180x180q90.jpg,O1CN01FDv9Qc1xmBACoQW9V_!!6000000006485-0-yinhe.jpg_180x180q90.jpg,https://gw.alicdn.com/tps/O1CN01FDv9Qc1xmBACoQW9V_!!6000000006485-0-yinhe.jpg_180x180q90.jpg,15.7001953125,0.18855218855218855,0.0968126449168871,1.0,15.7001953125,15.7001953125,1.0,100,1.0,1.0968126449168871
O1CN01ZoocQd1Hl4O4AKaAJ_!!6000000000797-0-yinhe.jpg_180x180q90.jpg,O1CN01ZoocQd1Hl4O4AKaAJ_!!6000000000797-0-yinhe.jpg_180x180q90.jpg,https://gw.alicdn.com/tps/O1CN01ZoocQd1Hl4O4AKaAJ_!!6000000000797-0-yinhe.jpg_180x180q90.jpg,6.7998046875,0.18855218855218855,0.0968126449168871,1.0,6.7998046875,6.7998046875,1.0,100,1.0,1.0968126449168871
O1CN01OAUIpX1xeqyu5B95v_!!6000000006469-0-yinhe.jpg_180x180q90.jpg,O1CN01OAUIpX1xeqyu5B95v_!!6000000006469-0-yinhe.jpg_180x180q90.jpg,https://gw.alicdn.com/tps/O1CN01OAUIpX1xeqyu5B95v_!!6000000006469-0-yinhe.jpg_180x180q90.jpg,4.1337890625,0.2679425837320574,0.0968126449168871,1.0,4.1337890625,4.1337890625,1.0,100,1.0,1.0968126449168871
O1CN01gO1IfQ1ljdhW0a0LT_!!6000000004855-0-yinhe.jpg_180x180q90.jpg,O1CN01gO1IfQ1ljdhW0a0LT_!!6000000004855-0-yinhe.jpg_180x180q90.jpg,https://gw.alicdn.com/tps/O1CN01gO1IfQ1ljdhW0a0LT_!!6000000004855-0-yinhe.jpg_180x180q90.jpg,2.111328125,0.2679425837320574,0.0968126449168871,1.0,2.111328125,2.111328125,1.0,100,1.0,1.0968126449168871
O1CN01GRrTAV1C7c9I5ykhS_!!6000000000034-2-tps-714-368.png_q90.png,O1CN01GRrTAV1C7c9I5ykhS_!!6000000000034-2-tps-714-368.png_q90.jpg,https://gw.alicdn.com/imgextra/i4/O1CN01GRrTAV1C7c9I5ykhS_!!6000000000034-2-tps-714-368.png_q90.jpg,68.5029296875,0.27722772277227725,1.0,0.11560439560439559,68.5029296875,66.28125,1.0,20,1.0,1.1156043956043955
O1CN01FgQFp81spmBXqQMtA_!!6000000005816-2-tps-183-144.png_q90.png,O1CN01FgQFp81spmBXqQMtA_!!6000000005816-2-tps-183-144.png_q90.jpg,https://gw.alicdn.com/imgextra/i3/O1CN01FgQFp81spmBXqQMtA_!!6000000005816-2-tps-183-144.png_q90.jpg,11.9609375,1.0,0.04431599229287091,1.2892156862745097,11.9609375,11.76171875,1.0,80,1.0,1.3335316785673805
O1CN0142KDrr1H88qhzVwnr_!!0-item_pic.jpg_500x500q90.jpg,O1CN0142KDrr1H88qhzVwnr_!!0-item_pic.jpg_500x500q90.jpg,https://gw.alicdn.com/bao/uploaded/i4/2764130712/O1CN0142KDrr1H88qhzVwnr_!!0-item_pic.jpg_500x500q90.jpg,90.294921875,0.03943661971830986,0.43917572907481794,1.0,90.294921875,90.294921875,1.0,100,1.0,1.439175729074818
